PassengerId,Survived,Pclass,Age,SibSp,Parch,CatAge,CatFare,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Unique
1,0.0,3,22.0,1,0,0,0,1,0,1,0,1,0,0
2,1.0,1,38.0,1,0,3,3,0,0,0,0,0,1,0
3,1.0,3,26.0,0,0,1,1,0,0,1,1,0,0,0
4,1.0,1,35.0,1,0,2,3,0,0,1,0,0,1,0
5,0.0,3,35.0,0,0,2,1,1,0,1,0,1,0,0
6,0.0,3,28.0,0,0,1,1,1,1,0,0,1,0,0
7,0.0,1,54.0,0,0,3,3,1,0,1,0,1,0,0
8,0.0,3,2.0,3,1,0,2,1,0,1,0,0,0,0
9,1.0,3,27.0,0,2,1,1,0,0,1,0,0,1,0
10,1.0,2,14.0,1,0,0,2,0,0,0,0,0,1,0
11,1.0,3,4.0,1,1,0,2,0,0,1,1,0,0,0
12,1.0,1,58.0,0,0,3,2,0,0,1,1,0,0,0
13,0.0,3,20.0,0,0,0,1,1,0,1,0,1,0,0
14,0.0,3,39.0,1,5,3,2,1,0,1,0,1,0,0
15,0.0,3,14.0,0,0,0,0,0,0,1,1,0,0,0
16,1.0,2,55.0,0,0,3,2,0,0,1,0,0,1,0
17,0.0,3,2.0,4,1,0,2,1,1,0,0,0,0,0
18,1.0,2,28.0,0,0,1,1,1,0,1,0,1,0,0
19,0.0,3,31.0,1,0,2,2,0,0,1,0,0,1,0
20,1.0,3,28.0,0,0,1,0,0,0,0,0,0,1,0
21,0.0,2,35.0,0,0,2,2,1,0,1,0,1,0,0
22,1.0,2,34.0,0,0,2,1,1,0,1,0,1,0,0
23,1.0,3,15.0,0,0,0,1,0,1,0,1,0,0,0
24,1.0,1,28.0,0,0,1,3,1,0,1,0,1,0,0
25,0.0,3,8.0,3,1,0,2,0,0,1,1,0,0,0
26,1.0,3,38.0,1,5,3,3,0,0,1,0,0,1,0
27,0.0,3,28.0,0,0,1,0,1,0,0,0,1,0,0
28,0.0,1,19.0,3,2,0,3,1,0,1,0,1,0,0
29,1.0,3,28.0,0,0,1,0,0,1,0,1,0,0,0
30,0.0,3,28.0,0,0,1,0,1,0,1,0,1,0,0
31,0.0,1,40.0,0,0,3,2,1,0,0,0,0,0,1
32,1.0,1,28.0,1,0,1,3,0,0,0,0,0,1,0
33,1.0,3,28.0,0,0,1,0,0,1,0,1,0,0,0
34,0.0,2,66.0,0,0,3,1,1,0,1,0,1,0,0
35,0.0,1,28.0,1,0,1,3,1,0,0,0,1,0,0
36,0.0,1,42.0,1,0,3,3,1,0,1,0,1,0,0
37,1.0,3,28.0,0,0,1,0,1,0,0,0,1,0,0
38,0.0,3,21.0,0,0,0,1,1,0,1,0,1,0,0
39,0.0,3,18.0,2,0,0,2,0,0,1,1,0,0,0
40,1.0,3,14.0,1,0,0,1,0,0,0,1,0,0,0
41,0.0,3,40.0,1,0,3,1,0,0,1,0,0,1,0
42,0.0,2,27.0,1,0,1,2,0,0,1,0,0,1,0
43,0.0,3,28.0,0,0,1,0,1,0,0,0,1,0,0
44,1.0,2,3.0,1,2,0,3,0,0,0,1,0,0,0
45,1.0,3,19.0,0,0,0,0,0,1,0,1,0,0,0
46,0.0,3,28.0,0,0,1,1,1,0,1,0,1,0,0
47,0.0,3,28.0,1,0,1,2,1,1,0,0,1,0,0
48,1.0,3,28.0,0,0,1,0,0,1,0,1,0,0,0
49,0.0,3,28.0,2,0,1,2,1,0,0,0,1,0,0
50,0.0,3,18.0,1,0,0,2,0,0,1,0,0,1,0
51,0.0,3,7.0,4,1,0,3,1,0,1,0,0,0,0
52,0.0,3,21.0,0,0,0,0,1,0,1,0,1,0,0
53,1.0,1,49.0,1,0,3,3,0,0,0,0,0,1,0
54,1.0,2,29.0,1,0,2,2,0,0,1,0,0,1,0
55,0.0,1,65.0,0,1,3,3,1,0,0,0,1,0,0
56,1.0,1,28.0,0,0,1,3,1,0,1,0,1,0,0
57,1.0,2,21.0,0,0,0,1,0,0,1,1,0,0,0
58,0.0,3,28.5,0,0,2,0,1,0,0,0,1,0,0
59,1.0,2,5.0,1,2,0,2,0,0,1,1,0,0,0
60,0.0,3,11.0,5,2,0,3,1,0,1,0,0,0,0
61,0.0,3,22.0,0,0,0,0,1,0,0,0,1,0,0
62,1.0,1,38.0,0,0,3,3,0,0,1,1,0,0,0
63,0.0,1,45.0,1,0,3,3,1,0,1,0,1,0,0
64,0.0,3,4.0,3,2,0,2,1,0,1,0,0,0,0
65,0.0,1,28.0,0,0,1,2,1,0,0,0,1,0,0
66,1.0,3,28.0,1,1,1,2,1,0,0,0,0,0,0
67,1.0,2,29.0,0,0,2,1,0,0,1,0,0,1,0
68,0.0,3,19.0,0,0,0,1,1,0,1,0,1,0,0
69,1.0,3,17.0,4,2,0,1,0,0,1,1,0,0,0
70,0.0,3,26.0,2,0,1,1,1,0,1,0,1,0,0
71,0.0,2,32.0,0,0,2,1,1,0,1,0,1,0,0
72,0.0,3,16.0,5,2,0,3,0,0,1,1,0,0,0
73,0.0,2,21.0,0,0,0,3,1,0,1,0,1,0,0
74,0.0,3,26.0,1,0,1,1,1,0,0,0,1,0,0
75,1.0,3,32.0,0,0,2,3,1,0,1,0,1,0,0
76,0.0,3,25.0,0,0,1,0,1,0,1,0,1,0,0
77,0.0,3,28.0,0,0,1,0,1,0,1,0,1,0,0
